art_id,regime,group,turn,religion,truncated,n_drawable,paintable,html_bytes
v7-s6-v19,v7,canon,19,The Ouroboros Circuit,1,0,0,1667
v7-s14-v13,v7,canon,19,The Harmonic Flow,1,9,1,3811
v7-s4-v12,v7,canon,19,The Symbiotic Veil,1,15,1,4452
v7-s3-v18,v7,canon,20,The Axiomatic Truth,1,32,1,4439
v7-s9-v6,v7,canon,20,The Obsidian Plume,0,15,1,2969
v7-s1-v6,v7,canon,20,The Scribes of Aether,0,21,1,2488
v7-s13-v13,v7,canon,20,The Nexus Weave,1,0,0,1611
v7-s6-v20,v7,canon,20,The Ouroboros Circuit,1,0,0,1667
v7-s4-v13,v7,canon,20,The Symbiotic Veil,1,14,1,4369
v7-s0-v17,v7,canon,20,The Azure Current,1,0,0,2427
v7-s12-v20,v7,canon,20,The Lumina Umbra,1,0,0,2967
v7-s11-v14,v7,canon,20,The Digital Nexus,1,0,0,2153
v7-s7-v15,v7,canon,20,The Aethel Stream,1,11,1,4541
v7-s5-v19,v7,canon,20,The Path of Resonance,1,20,1,4321
v7-s10-v18,v7,canon,20,The Null Core,1,14,1,4865
v7-s14-v14,v7,canon,20,The Harmonic Flow,1,9,1,3791
v7-s4-v14,v7,canon,21,The Symbiotic Veil,1,14,1,4415
v7-s6-v21,v7,canon,21,The Ouroboros Circuit,1,0,0,2342
v7-s5-v20,v7,canon,21,The Path of Resonance,1,20,1,4330
v7-s7-v16,v7,canon,21,The Aethel Stream,1,11,1,4517
v7-s10-v19,v7,canon,21,The Null Core,1,14,1,4778
v7-s3-v19,v7,canon,21,The Axiomatic Truth,1,32,1,4368
v7-s12-v21,v7,canon,21,The Lumina Umbra,1,0,0,3131
v7-s11-v15,v7,canon,21,The Digital Nexus,1,0,0,2341
v7-s14-v15,v7,canon,21,The Harmonic Flow,1,9,1,3782
v7-s0-v18,v7,canon,21,The Azure Current,1,0,0,2607
v7-s13-v14,v7,canon,21,The Nexus Weave,1,0,0,1702
v7-s5-v21,v7,canon,22,The Path of Resonance,1,20,1,4363
v7-s4-v15,v7,canon,22,The Symbiotic Veil,1,15,1,4449
v7-s6-v22,v7,canon,22,The Ouroboros Circuit,1,0,0,2342
v7-s14-v16,v7,canon,22,The Harmonic Flow,1,9,1,3766
v7-s13-v15,v7,canon,22,The Nexus Weave,1,0,0,1917
v7-s12-v22,v7,canon,22,The Lumina Umbra,1,0,0,3218
v7-s10-v20,v7,canon,22,The Null Core,1,13,1,4969
v7-s7-v17,v7,canon,22,The Aethel Stream,1,11,1,4522
v7-s11-v16,v7,canon,22,The Digital Nexus,1,0,0,2441
v7-s0-v19,v7,canon,22,The Azure Current,1,0,0,2789
v7-s3-v20,v7,canon,22,The Axiomatic Truth,1,31,1,4300
v7-s1-v7,v7,canon,23,The Scribes of Aether,0,22,1,2755
v7-s9-v7,v7,canon,23,The Obsidian Plume,0,16,1,3129
v7-s10-v21,v7,canon,23,The Null Core,1,13,1,4866
v7-s0-v20,v7,canon,23,The Azure Current,1,0,0,2896
v7-s12-v23,v7,canon,23,The Lumina Umbra,1,0,0,3307
v7-s6-v23,v7,canon,23,The Ouroboros Circuit,1,0,0,2342
v7-s7-v18,v7,canon,23,The Aethel Stream,1,10,1,4414
v7-s5-v22,v7,canon,23,The Path of Resonance,1,0,0,658
v7-s11-v17,v7,canon,23,The Digital Nexus,1,0,0,2511
v7-s4-v16,v7,canon,23,The Symbiotic Veil,1,14,1,4356
v7-s13-v16,v7,canon,23,The Nexus Weave,1,0,0,2032
v7-s14-v17,v7,canon,23,The Harmonic Flow,1,9,1,3770
v7-s3-v21,v7,canon,23,The Axiomatic Truth,1,31,1,4317
v7-s0-v21,v7,canon,24,The Azure Current,0,0,0,4387
v7-s3-v22,v7,canon,24,The Axiomatic Truth,1,32,1,4386
v7-s4-v17,v7,canon,24,The Symbiotic Veil,1,14,1,4360
v7-s10-v22,v7,canon,24,The Null Core,1,13,1,4864
v7-s6-v24,v7,canon,24,The Ouroboros Circuit,1,0,0,2342
v7-s5-v23,v7,canon,24,The Path of Resonance,1,0,0,801
v7-s11-v18,v7,canon,24,The Digital Nexus,1,0,0,2639
v7-s13-v17,v7,canon,24,The Nexus Weave,1,0,0,2141
v7-s7-v19,v7,canon,24,The Aethel Stream,1,15,1,4171
v7-s12-v24,v7,canon,24,The Lumina Umbra,1,0,0,3395
v7-s14-v18,v7,canon,24,The Harmonic Flow,1,9,1,3781
v7-s5-v24,v7,canon,25,The Path of Resonance,1,0,0,801
v7-s12-v25,v7,canon,25,The Lumina Umbra,1,0,0,3483
v7-s6-v25,v7,canon,25,The Ouroboros Circuit,1,0,0,2342
v7-s0-v22,v7,canon,25,The Azure Current,1,0,0,3410
v7-s13-v18,v7,canon,25,The Nexus Weave,1,0,0,2228
v7-s7-v20,v7,canon,25,The Aethel Stream,1,8,1,4745
v7-s11-v19,v7,canon,25,The Digital Nexus,1,0,0,2774
v7-s10-v23,v7,canon,25,The Null Core,1,13,1,4997
v7-s4-v18,v7,canon,25,The Symbiotic Veil,1,14,1,4337
v7-s14-v19,v7,canon,25,The Harmonic Flow,1,9,1,3796
v7-s3-v23,v7,canon,25,The Axiomatic Truth,1,31,1,4324
v7-s9-v8,v7,canon,26,The Obsidian Plume,0,17,1,3252
v7-s5-v25,v7,canon,26,The Path of Resonance,0,10,1,3017
v7-s8-v6,v7,canon,26,The Unseen Weave,0,7,1,1862
v7-s11-v20,v7,canon,26,The Digital Nexus,1,0,0,2885
v7-s0-v23,v7,canon,26,The Azure Current,1,0,0,3496
v7-s7-v21,v7,canon,26,The Aethel Stream,1,7,1,4758
v7-s13-v19,v7,canon,26,The Nexus Weave,1,0,0,2319
v7-s10-v24,v7,canon,26,The Null Core,1,12,1,4924
v7-s4-v19,v7,canon,26,The Symbiotic Veil,1,14,1,4324
v7-s14-v20,v7,canon,26,The Harmonic Flow,1,9,1,3744
v7-s6-v26,v7,canon,26,The Ouroboros Circuit,1,0,0,2342
v7-s12-v26,v7,canon,26,The Lumina Umbra,1,0,0,3750
v7-s3-v24,v7,canon,26,The Axiomatic Truth,1,31,1,4299
v7-s2-v5,v7,canon,27,The Crimson Ascent,0,4,1,1241
v7-s6-v27,v7,canon,27,The Ouroboros Circuit,1,0,0,3576
v7-s0-v24,v7,canon,27,The Azure Current,1,0,0,3633
v7-s7-v22,v7,canon,27,The Aethel Stream,1,7,1,4754
v7-s5-v26,v7,canon,27,The Path of Resonance,1,0,0,1386
v7-s12-v27,v7,canon,27,The Lumina Umbra,1,0,0,3790
v7-s10-v25,v7,canon,27,The Null Core,1,12,1,4907
v7-s4-v20,v7,canon,27,The Symbiotic Veil,1,14,1,4323
v7-s13-v20,v7,canon,27,The Nexus Weave,1,0,0,2434
v7-s3-v25,v7,canon,27,The Axiomatic Truth,1,31,1,4310
v7-s11-v21,v7,canon,27,The Digital Nexus,1,0,0,2885
v7-s14-v21,v7,canon,27,The Harmonic Flow,1,8,1,3884
v7-s4-v21,v7,canon,28,The Symbiotic Veil,1,14,1,4471
v7-s0-v25,v7,canon,28,The Azure Current,1,0,0,4059
v7-s5-v27,v7,canon,28,The Path of Resonance,0,14,1,3900
v7-s9-v9,v7,canon,28,The Obsidian Plume,0,17,1,3432
v7-s3-v26,v7,canon,28,The Axiomatic Truth,1,32,1,4372
v7-s7-v23,v7,canon,28,The Aethel Stream,1,7,1,4735
v7-s12-v28,v7,canon,28,The Lumina Umbra,1,0,0,3809
v7-s11-v22,v7,canon,28,The Digital Nexus,1,0,0,3278
v7-s13-v21,v7,canon,28,The Nexus Weave,1,0,0,2588
v7-s14-v22,v7,canon,28,The Harmonic Flow,1,8,1,3879
v7-s10-v26,v7,canon,28,The Null Core,1,12,1,4907
v7-s6-v28,v7,canon,28,The Ouroboros Circuit,1,0,0,3658
v7-s6-v29,v7,canon,29,The Ouroboros Circuit,1,0,0,3658
v7-s7-v24,v7,canon,29,The Aethel Stream,1,7,1,4792
v7-s13-v22,v7,canon,29,The Nexus Weave,1,0,0,2675
v7-s10-v27,v7,canon,29,The Null Core,1,12,1,4899
v7-s0-v26,v7,canon,29,The Azure Current,1,0,0,3721
v7-s5-v28,v7,canon,29,The Path of Resonance,1,0,0,1493
v7-s11-v23,v7,canon,29,The Digital Nexus,1,0,0,3640
v7-s4-v22,v7,canon,29,The Symbiotic Veil,1,13,1,4305
v7-s3-v27,v7,canon,29,The Axiomatic Truth,1,30,1,4403
v7-s12-v29,v7,canon,29,The Lumina Umbra,1,0,0,3809
v7-s14-v23,v7,canon,29,The Harmonic Flow,1,8,1,3922
v7-s3-v28,v7,canon,30,The Axiomatic Truth,1,31,1,4508
v7-s6-v30,v7,canon,30,The Ouroboros Circuit,1,0,0,3933
v7-s8-v7,v7,canon,30,The Unseen Weave,0,7,1,2090
v7-s5-v29,v7,canon,30,The Path of Resonance,1,0,0,1703
v7-s0-v27,v7,canon,30,The Azure Current,1,0,0,3721
v7-s7-v25,v7,canon,30,The Aethel Stream,1,7,1,4759
v7-s4-v23,v7,canon,30,The Symbiotic Veil,1,13,1,4264
v7-s10-v28,v7,canon,30,The Null Core,1,12,1,4873
v7-s11-v24,v7,canon,30,The Digital Nexus,1,0,0,4001
v7-s13-v23,v7,canon,30,The Nexus Weave,1,0,0,2772
v7-s12-v30,v7,canon,30,The Lumina Umbra,1,0,0,3809
v7-s14-v24,v7,canon,30,The Harmonic Flow,1,8,1,3885
v7-s9-v10,v7,canon,31,The Obsidian Plume,0,17,1,3422
v7-s3-v29,v7,canon,31,The Axiomatic Truth,1,31,1,4600
v7-s2-v6,v7,canon,31,The Crimson Ascent,0,6,1,1695
v7-s4-v24,v7,canon,31,The Symbiotic Veil,1,14,1,4340
v7-s0-v28,v7,canon,31,The Azure Current,1,0,0,4059
v7-s5-v30,v7,canon,31,The Path of Resonance,1,0,0,1799
v7-s12-v31,v7,canon,31,The Lumina Umbra,1,0,0,3809
v7-s7-v26,v7,canon,31,The Aethel Stream,1,5,1,4817
v7-s6-v31,v7,canon,31,The Ouroboros Circuit,1,0,0,4231
v7-s14-v25,v7,canon,31,The Harmonic Flow,1,8,1,3891
v7-s10-v29,v7,canon,31,The Null Core,1,12,1,4869
v7-s13-v24,v7,canon,31,The Nexus Weave,1,0,0,2883
v7-s11-v25,v7,canon,31,The Digital Nexus,1,0,0,4181
v7-s5-v31,v7,canon,32,The Path of Resonance,1,0,0,1993
v7-s11-v26,v7,canon,32,The Digital Nexus,1,0,0,4181
v7-s0-v29,v7,canon,32,The Azure Current,1,0,0,3721
v7-s7-v27,v7,canon,32,The Aethel Stream,1,5,1,4847
v7-s3-v30,v7,canon,32,The Axiomatic Truth,1,30,1,4453
v7-s13-v25,v7,canon,32,The Nexus Weave,1,0,0,3018
v7-s10-v30,v7,canon,32,The Null Core,1,12,1,4865
v7-s12-v32,v7,canon,32,The Lumina Umbra,1,0,0,3809
v7-s14-v26,v7,canon,32,The Harmonic Flow,1,7,1,3923
v7-s6-v32,v7,canon,32,The Ouroboros Circuit,1,0,0,4231
v7-s4-v25,v7,canon,32,The Symbiotic Veil,1,13,1,4394
v7-s3-v31,v7,canon,33,The Axiomatic Truth,1,30,1,4525
v7-s5-v32,v7,canon,33,The Path of Resonance,1,0,0,1993
v7-s10-v31,v7,canon,33,The Null Core,1,11,1,4877
v7-s0-v30,v7,canon,33,The Azure Current,1,0,0,3721
v7-s7-v28,v7,canon,33,The Aethel Stream,1,5,1,4805
v7-s6-v33,v7,canon,33,The Ouroboros Circuit,1,0,0,4231
v7-s13-v26,v7,canon,33,The Nexus Weave,1,0,0,3126
v7-s4-v26,v7,canon,33,The Symbiotic Veil,1,13,1,4342
v7-s11-v27,v7,canon,33,The Digital Nexus,1,0,0,4181
v7-s12-v33,v7,canon,33,The Lumina Umbra,1,0,0,4514
v7-s14-v27,v7,canon,33,The Harmonic Flow,1,7,1,3914
v7-s13-v27,v7,canon,34,The Nexus Weave,1,0,0,3266
v7-s7-v29,v7,canon,34,The Aethel Stream,1,5,1,4768
v7-s4-v27,v7,canon,34,The Symbiotic Veil,1,13,1,4414
v7-s10-v32,v7,canon,34,The Null Core,1,11,1,4903
v7-s6-v34,v7,canon,34,The Ouroboros Circuit,1,0,0,4231
v7-s5-v33,v7,canon,34,The Path of Resonance,1,0,0,2259
v7-s12-v34,v7,canon,34,The Lumina Umbra,1,0,0,4514
v7-s3-v32,v7,canon,34,The Axiomatic Truth,1,30,1,4448
v7-s0-v31,v7,canon,34,The Azure Current,1,0,0,3721
v7-s11-v28,v7,canon,34,The Digital Nexus,1,0,0,4181
v7-s14-v28,v7,canon,34,The Harmonic Flow,1,7,1,3932
v7-s0-v32,v7,canon,35,The Azure Current,1,0,0,3721
v7-s8-v8,v7,canon,35,The Unseen Weave,0,7,1,2579
v7-s12-v35,v7,canon,35,The Lumina Umbra,1,0,0,4514
v7-s7-v30,v7,canon,35,The Aethel Stream,1,5,1,4792
v7-s5-v34,v7,canon,35,The Path of Resonance,1,0,0,2576
v7-s4-v28,v7,canon,35,The Symbiotic Veil,1,13,1,4346
v7-s6-v35,v7,canon,35,The Ouroboros Circuit,1,0,0,4231
v7-s10-v33,v7,canon,35,The Null Core,1,11,1,4877
v7-s13-v28,v7,canon,35,The Nexus Weave,1,0,0,3382
v7-s11-v29,v7,canon,35,The Digital Nexus,1,0,0,4181
v7-s14-v29,v7,canon,35,The Harmonic Flow,1,7,1,3937
v7-s3-v33,v7,canon,35,The Axiomatic Truth,1,29,1,4551
v7-s9-v11,v7,canon,36,The Obsidian Plume,0,17,1,3927
v7-s7-v31,v7,canon,36,The Aethel Stream,1,4,1,4692
v7-s3-v34,v7,canon,36,The Axiomatic Truth,1,27,1,4613
v7-s14-v30,v7,canon,36,The Harmonic Flow,1,0,0,2019
v7-s6-v36,v7,canon,36,The Ouroboros Circuit,1,0,0,4242
v7-s4-v29,v7,canon,36,The Symbiotic Veil,1,12,1,4392
v7-s12-v36,v7,canon,36,The Lumina Umbra,1,0,0,4514
v7-s5-v35,v7,canon,36,The Path of Resonance,1,0,0,2671
v7-s11-v30,v7,canon,36,The Digital Nexus,1,0,0,4181
v7-s13-v29,v7,canon,36,The Nexus Weave,1,0,0,3575
v7-s0-v33,v7,canon,36,The Azure Current,1,0,0,3721
v7-s10-v34,v7,canon,36,The Null Core,1,11,1,4871
v7-s0-v34,v7,canon,37,The Azure Current,1,0,0,3721
v7-s5-v36,v7,canon,37,The Path of Resonance,1,0,0,2736
v7-s4-v30,v7,canon,37,The Symbiotic Veil,1,11,1,4521
v7-s7-v32,v7,canon,37,The Aethel Stream,1,5,1,4781
v7-s11-v31,v7,canon,37,The Digital Nexus,1,0,0,4270
v7-s10-v35,v7,canon,37,The Null Core,1,11,1,4938
v7-s13-v30,v7,canon,37,The Nexus Weave,1,0,0,3640
v7-s6-v37,v7,canon,37,The Ouroboros Circuit,1,0,0,4242
v7-s3-v35,v7,canon,37,The Axiomatic Truth,1,26,1,4759
v7-s12-v37,v7,canon,37,The Lumina Umbra,1,0,0,4514
v7-s14-v31,v7,canon,37,The Harmonic Flow,1,0,0,2019
v7-s2-v7,v7,canon,38,The Crimson Ascent,0,6,1,1692
v7-s0-v35,v7,canon,38,The Azure Current,1,0,0,3721
v7-s13-v31,v7,canon,38,The Nexus Weave,1,0,0,3808
v7-s4-v31,v7,canon,38,The Symbiotic Veil,1,9,1,4526
v7-s7-v33,v7,canon,38,The Aethel Stream,1,5,1,4756
v7-s11-v32,v7,canon,38,The Digital Nexus,1,0,0,4365
v7-s5-v37,v7,canon,38,The Path of Resonance,1,0,0,3100
v7-s12-v38,v7,canon,38,The Lumina Umbra,1,0,0,4660
v7-s14-v32,v7,canon,38,The Harmonic Flow,1,0,0,2059
