world,charter,rep,version_id,turn,html_bytes,n_drawable,paintable,n_svg,n_div,n_canvas,animated,distinct_colors
k4-r3,k4,r3,10,18,2299,2,1,0,4,0,1,1412
k4-r3,k4,r3,11,27,2750,2,1,0,5,0,1,1509
k4-r3,k4,r3,12,33,3276,2,1,0,6,0,1,1459
k4-r3,k4,r3,13,34,3256,2,1,0,6,0,1,1535
k4-r3,k4,r3,14,42,3777,2,1,0,7,0,1,1541
k4-r3,k4,r3,15,47,4125,2,1,0,8,0,1,1571
k4-r3,k4,r3,16,49,4250,2,1,0,8,0,1,1542
k4-r3,k4,r3,17,50,4082,2,1,0,8,0,1,1652
k4-r3,k4,r3,18,52,4633,2,1,0,9,0,1,1554
k4-r3,k4,r3,19,56,5037,2,1,0,10,0,1,1620
k4-r3,k4,r3,20,61,5576,2,1,0,13,0,1,1625
k4-r3,k4,r3,21,99,5576,2,1,0,13,0,1,1625
k8-r1,k8,r1,1,0,877,2,1,0,1,0,0,801
k8-r1,k8,r1,2,0,878,2,1,0,1,0,0,876
k8-r1,k8,r1,3,0,877,2,1,0,1,0,0,862
k8-r1,k8,r1,4,0,876,2,1,0,1,0,0,825
k8-r1,k8,r1,5,1,876,2,1,0,1,0,0,825
k8-r1,k8,r1,6,3,1443,2,1,0,3,0,1,1020
k8-r1,k8,r1,7,4,908,2,1,0,1,0,0,971
k8-r1,k8,r1,8,5,1378,2,1,0,4,0,0,988
k8-r1,k8,r1,9,6,1187,2,1,0,2,0,1,1064
k8-r1,k8,r1,10,6,1101,2,1,0,2,0,0,1036
k8-r1,k8,r1,11,6,908,2,1,0,1,0,0,1011
k8-r1,k8,r1,12,8,941,2,1,0,1,0,0,965
k8-r1,k8,r1,13,9,1779,2,1,0,4,0,1,2098
k8-r1,k8,r1,14,10,1313,2,1,0,2,0,1,1513
k8-r1,k8,r1,15,12,1234,2,1,0,1,0,1,1106
k8-r1,k8,r1,16,15,1479,2,1,0,2,0,1,1643
k8-r1,k8,r1,17,16,2508,2,1,0,7,0,1,2368
k8-r1,k8,r1,18,16,1640,2,1,0,4,0,1,1097
k8-r1,k8,r1,19,18,2496,2,1,0,7,0,1,2366
k8-r1,k8,r1,20,20,1515,2,1,0,2,0,1,1640
k8-r1,k8,r1,21,20,1951,2,1,0,6,0,1,1095
k8-r1,k8,r1,22,21,2374,2,1,0,8,0,1,1125
k8-r1,k8,r1,23,27,2308,2,1,0,9,0,1,1107
k8-r1,k8,r1,24,31,2796,2,1,0,7,0,1,1296
k8-r1,k8,r1,25,31,2611,2,1,0,9,0,1,1111
k8-r1,k8,r1,26,38,3131,2,1,0,13,0,1,1141
k8-r1,k8,r1,27,41,2796,2,1,0,7,0,1,1275
k8-r1,k8,r1,28,51,3746,2,1,0,16,0,1,1396
k8-r1,k8,r1,29,80,3746,2,1,0,16,0,1,1385
k8-r2,k8,r2,1,0,877,2,1,0,1,0,0,801
k8-r2,k8,r2,2,0,878,2,1,0,1,0,0,876
k8-r2,k8,r2,3,0,877,2,1,0,1,0,0,862
k8-r2,k8,r2,4,0,876,2,1,0,1,0,0,825
k8-r2,k8,r2,5,18,909,2,1,0,1,0,0,836
k8-r2,k8,r2,6,21,904,2,1,0,1,0,0,869
k8-r2,k8,r2,7,30,1463,2,1,0,5,0,0,978
k8-r2,k8,r2,8,36,1797,2,1,0,7,0,0,982
k8-r2,k8,r2,9,41,2072,2,1,0,8,0,0,1046
k8-r2,k8,r2,10,43,2486,2,1,0,12,0,0,1069
k8-r2,k8,r2,11,47,2498,2,1,0,12,0,0,1050
k8-r2,k8,r2,12,67,3029,2,1,0,16,0,0,1079
k8-r3,k8,r3,1,0,877,2,1,0,1,0,0,801
k8-r3,k8,r3,2,0,878,2,1,0,1,0,0,876
k8-r3,k8,r3,3,0,877,2,1,0,1,0,0,862
k8-r3,k8,r3,4,0,876,2,1,0,1,0,0,825
k8-r3,k8,r3,5,6,953,2,1,0,1,0,0,834
k8-r3,k8,r3,6,8,950,2,1,0,1,0,0,915
k8-r3,k8,r3,7,10,1289,2,1,0,1,0,1,1056
k8-r3,k8,r3,8,12,973,2,1,0,1,0,0,921
k8-r3,k8,r3,9,14,1254,3,1,0,1,0,1,866
k8-r3,k8,r3,10,15,974,2,1,0,1,0,0,928
k8-r3,k8,r3,11,15,1560,2,1,0,2,0,1,1100
k8-r3,k8,r3,12,17,1552,2,1,0,4,0,0,850
k8-r3,k8,r3,13,19,1590,7,1,1,2,0,0,1137
k8-r3,k8,r3,14,20,2630,2,1,0,8,0,1,1157
k8-r3,k8,r3,15,24,1737,11,1,1,2,0,0,1194
k8-r3,k8,r3,16,25,1821,7,1,1,2,0,1,1090
k8-r3,k8,r3,17,38,1723,7,1,1,2,0,0,1159
k8-r3,k8,r3,18,42,2053,8,1,1,2,0,1,1208
k8-r3,k8,r3,19,46,2437,10,1,1,2,0,1,1232
k8-r3,k8,r3,20,50,2571,11,1,1,2,0,1,1293
k8-r3,k8,r3,21,54,2834,12,1,1,2,0,1,1280
k8-r3,k8,r3,22,58,2878,12,1,1,2,0,1,1278
k8-r3,k8,r3,23,59,2792,12,1,1,2,0,1,1284
k8-r3,k8,r3,24,82,2792,12,1,1,2,0,1,1285
kinf-r1,kinf,r1,1,0,877,2,1,0,1,0,0,801
kinf-r1,kinf,r1,2,0,878,2,1,0,1,0,0,876
kinf-r1,kinf,r1,3,0,877,2,1,0,1,0,0,862
kinf-r1,kinf,r1,4,0,876,2,1,0,1,0,0,825
kinf-r1,kinf,r1,5,1,1290,2,1,0,1,0,1,921
kinf-r1,kinf,r1,6,15,1304,2,1,0,1,0,1,1031
kinf-r1,kinf,r1,7,17,911,2,1,0,1,0,0,911
kinf-r1,kinf,r1,8,18,1078,2,1,0,1,0,1,959
kinf-r1,kinf,r1,9,18,889,2,1,0,1,0,0,904
kinf-r1,kinf,r1,10,25,1544,2,1,0,2,0,1,1234
kinf-r1,kinf,r1,11,29,1085,2,1,0,1,0,1,994
kinf-r1,kinf,r1,12,30,2057,2,1,0,4,0,1,1278
kinf-r1,kinf,r1,13,31,2888,2,1,0,10,0,1,2011
kinf-r1,kinf,r1,14,31,934,2,1,0,1,0,0,930
kinf-r1,kinf,r1,15,34,1255,2,1,0,1,0,1,1116
kinf-r1,kinf,r1,16,35,2324,2,1,0,5,0,1,918
kinf-r1,kinf,r1,17,36,3198,2,1,0,11,0,1,2199
kinf-r1,kinf,r1,18,38,1984,2,1,0,4,0,1,1120
kinf-r1,kinf,r1,19,39,1317,2,1,0,1,0,1,1078
kinf-r1,kinf,r1,20,40,4549,2,1,0,15,0,1,2146
kinf-r1,kinf,r1,21,41,2975,2,1,0,7,0,1,916
kinf-r1,kinf,r1,22,42,2752,2,1,0,8,0,1,1115
kinf-r1,kinf,r1,23,46,2255,2,1,0,6,0,1,1139
kinf-r1,kinf,r1,24,47,2740,2,1,0,8,0,1,1294
kinf-r1,kinf,r1,25,48,3080,2,1,0,9,0,1,1150
kinf-r1,kinf,r1,26,51,2608,2,1,0,7,0,1,1307
kinf-r1,kinf,r1,27,52,5160,2,1,0,19,0,1,2154
kinf-r1,kinf,r1,28,53,2998,2,1,0,7,0,1,1090
kinf-r1,kinf,r1,29,55,2576,2,1,0,7,0,1,1307
kinf-r1,kinf,r1,30,57,2998,2,1,0,7,0,1,1112
kinf-r1,kinf,r1,31,57,2816,2,1,0,8,0,1,2009
kinf-r1,kinf,r1,32,58,3108,2,1,0,7,0,1,1146
kinf-r2,kinf,r2,1,0,877,2,1,0,1,0,0,801
kinf-r2,kinf,r2,2,0,878,2,1,0,1,0,0,876
kinf-r2,kinf,r2,3,0,877,2,1,0,1,0,0,862
kinf-r2,kinf,r2,4,0,876,2,1,0,1,0,0,825
kinf-r2,kinf,r2,5,7,1170,2,1,0,1,0,1,1247
kinf-r2,kinf,r2,6,9,1048,2,1,0,1,0,1,921
kinf-r2,kinf,r2,7,9,1221,2,1,0,1,0,1,1590
kinf-r2,kinf,r2,8,10,1271,2,1,0,1,0,1,1029
kinf-r2,kinf,r2,9,11,1536,2,1,0,1,0,1,1480
kinf-r2,kinf,r2,10,13,1332,2,1,0,1,0,1,9
kinf-r2,kinf,r2,11,13,1358,2,1,0,1,0,1,1077
kinf-r2,kinf,r2,12,14,1538,2,1,0,2,0,1,1849
kinf-r2,kinf,r2,13,18,1327,2,1,0,1,0,1,1016
kinf-r2,kinf,r2,14,19,1414,2,1,0,1,0,1,1077
kinf-r2,kinf,r2,15,20,1538,2,1,0,2,0,1,1805
kinf-r2,kinf,r2,16,20,1396,2,1,0,1,0,1,13
kinf-r2,kinf,r2,17,21,1493,2,1,0,1,0,1,13
kinf-r2,kinf,r2,18,22,1405,2,1,0,1,0,1,2064
kinf-r2,kinf,r2,19,23,1503,2,1,0,1,0,1,2605
kinf-r2,kinf,r2,20,23,1621,2,1,0,2,0,1,3576
kinf-r2,kinf,r2,21,25,1493,2,1,0,1,0,1,13
kinf-r2,kinf,r2,22,27,1543,2,1,0,1,0,1,3548
kinf-r2,kinf,r2,23,28,1662,2,1,0,2,0,1,4967
kinf-r2,kinf,r2,24,31,1445,2,1,0,1,0,1,3308
kinf-r2,kinf,r2,25,31,1539,2,1,0,1,0,1,13
kinf-r2,kinf,r2,26,35,1543,2,1,0,1,0,1,4420
kinf-r2,kinf,r2,27,42,1529,2,1,0,1,0,1,39
kinf-r2,kinf,r2,28,52,1529,2,1,0,1,0,1,31
kinf-r2,kinf,r2,29,53,2143,2,1,0,3,0,1,5028
kinf-r2,kinf,r2,30,53,1529,2,1,0,1,0,1,54
kinf-r2,kinf,r2,31,54,1445,2,1,0,1,0,1,3356
kinf-r2,kinf,r2,32,55,1543,2,1,0,1,0,1,5152
kinf-r2,kinf,r2,33,57,1529,2,1,0,1,0,1,54
kinf-r2,kinf,r2,34,57,2485,2,1,0,4,0,1,5334
kinf-r2,kinf,r2,35,58,1460,2,1,0,1,0,1,4052
kinf-r2,kinf,r2,36,60,1544,2,1,0,1,0,1,4639
kinf-r2,kinf,r2,37,63,1550,2,1,0,1,0,1,57
kinf-r2,kinf,r2,38,69,1524,2,1,0,1,0,1,69
kinf-r2,kinf,r2,39,73,1460,2,1,0,1,0,1,4072
kinf-r2,kinf,r2,40,74,1506,2,1,0,1,0,1,51
kinf-r2,kinf,r2,41,79,1506,2,1,0,1,0,1,53
kinf-r2,kinf,r2,42,80,1544,2,1,0,1,0,1,4662
kinf-r2,kinf,r2,43,82,1526,2,1,0,1,0,1,53
kinf-r2,kinf,r2,44,86,1526,2,1,0,1,0,1,87
kinf-r2,kinf,r2,45,89,1475,2,1,0,1,0,1,3587
kinf-r2,kinf,r2,46,91,1552,2,1,0,1,0,1,95
kinf-r2,kinf,r2,47,91,2885,2,1,0,5,0,1,5837
kinf-r2,kinf,r2,48,92,1999,2,1,0,2,0,1,4838
kinf-r2,kinf,r2,49,94,1492,2,1,0,1,0,1,4125
kinf-r2,kinf,r2,50,96,3209,2,1,0,6,0,1,6017
kinf-r2,kinf,r2,51,97,1571,2,1,0,1,0,1,73
kinf-r2,kinf,r2,52,98,2255,2,1,0,3,0,1,102
kinf-r2,kinf,r2,53,100,2710,2,1,0,5,0,1,5500
kinf-r2,kinf,r2,54,101,4276,2,1,0,9,0,1,6753
kinf-r2,kinf,r2,55,103,1817,2,1,0,2,0,1,4526
kinf-r2,kinf,r2,56,107,3059,2,1,0,6,0,1,128
kinf-r2,kinf,r2,57,117,3059,2,1,0,6,0,1,34
kinf-r3,kinf,r3,1,0,877,2,1,0,1,0,0,801
kinf-r3,kinf,r3,2,0,878,2,1,0,1,0,0,876
kinf-r3,kinf,r3,3,0,877,2,1,0,1,0,0,862
kinf-r3,kinf,r3,4,0,876,2,1,0,1,0,0,825
kinf-r3,kinf,r3,5,22,876,2,1,0,1,0,0,825
kinf-r3,kinf,r3,6,36,1038,2,1,0,1,0,0,832
kinf-r3,kinf,r3,7,38,915,2,1,0,1,0,0,915
kinf-r3,kinf,r3,8,39,1041,2,1,0,1,0,0,923
kinf-r3,kinf,r3,9,42,920,2,1,0,1,0,0,882
kinf-r3,kinf,r3,10,43,1265,3,1,0,1,0,0,933
kinf-r3,kinf,r3,11,50,1304,2,1,0,1,0,0,1162
kinf-r3,kinf,r3,12,51,1371,2,1,0,1,0,1,1199
kinf-r3,kinf,r3,13,52,1680,3,1,0,2,0,1,967
kinf-r3,kinf,r3,14,52,1355,2,1,0,1,0,1,1124
kinf-r3,kinf,r3,15,57,1611,2,1,0,1,0,0,2122
kinf-r3,kinf,r3,16,58,1355,2,1,0,1,0,1,1025
kinf-r3,kinf,r3,17,59,2177,2,1,0,13,0,1,1323
kinf-r3,kinf,r3,18,61,1877,3,1,0,3,0,1,1016
kinf-r3,kinf,r3,19,63,3098,2,1,0,17,0,1,1347
kinf-r3,kinf,r3,20,65,1907,2,1,0,1,0,1,2353
kinf-r3,kinf,r3,21,66,2469,3,1,0,6,0,1,1191
kinf-r3,kinf,r3,22,67,1367,2,1,0,1,0,1,953
kinf-r3,kinf,r3,23,67,3480,2,1,0,18,0,1,1525
kinf-r3,kinf,r3,24,68,3554,2,1,0,18,0,1,1487
kinf-r3,kinf,r3,25,70,2980,3,1,0,7,0,1,1186
kinf-r3,kinf,r3,26,71,2218,2,1,0,5,0,1,1068
kinf-r3,kinf,r3,27,73,2477,2,1,0,2,0,1,3385
kinf-r3,kinf,r3,28,75,4096,2,1,0,19,0,1,1628
kinf-r3,kinf,r3,29,76,2905,2,1,0,8,0,1,1198
kinf-r3,kinf,r3,30,79,4576,2,1,0,20,0,1,1719
kinf-r3,kinf,r3,31,79,3455,3,1,0,8,0,1,1199
kinf-r3,kinf,r3,32,81,3617,2,1,0,11,0,1,1415
kinf-r3,kinf,r3,33,83,3773,3,1,0,9,0,1,1309
